ticker,name
AAB.TO,Aberdeen International
AAG.V,Aftermath Silver
AAN.V,Aton Resources
AAUC.TO,Allied Gold Corporation
ABI.V,Abcourt Mines
ABRA.TO,AbraSilver Resource Corp
ABRA.V,AbraSilver Resource Corp
ADY.V,Adyton Resources Corporation
ADZ.V,Adamera Minerals Corp
AE.V,American Eagle Gold Corp
AEM.TO,Agnico Eagle Mines
AERO.V,Aero Energy Limited
AG.V,FIRST MAJESTIC SILVER CORP
AGA.V,Silver47 Exploration Corp
AGAG.V,Argenta Silver Corp
AGLD.V,Austral Gold Limited
AGMR.V,Silver Mountain Resources
AGX.V,Silver X Mining Corp
ALEX.V,Alpha Exploration
ALTA.V,Altamira Gold Corp
AMC.TO,Arizona Metals Corp
AMQ.CN,Abitibi Metals Corp
AMRQ.V,Amaroq Minerals
AMX.V,Amex Exploration
ANK.V,Angkor Resources Corp
ANTL.V,Antler Gold
AOT.TO,Ascot Resources
APGO.V,Apollo Silver Corp
APM.TO,ANDEAN PRECIOUS METALS CORP
ARIC.V,Awalé Resources Limited
ARIS.TO,Aris Mining Corporation
ARK.V,Arras Minerals Corp
ARTG.V,Artemis Gold
ARU.V,Aurania Resources
ASE.CN,Asante Gold Corporation
ASM.TO,Avino Silver & Gold Mines
ASTR.V,Astra Exploration
ATHA.CN,Athena Gold Corporation
AUAU.V,Allegiant Gold
AUM.V,AuMEGA Metals
AUMB.V,1911 Gold Corporation
AUOZ.CN,Emperor Metals
AUR.H.V,Aurora Royalties
AXM.H.V,axmin
AYA.TO,AYA GOLD & SILVER
AZM.V,Azimut Exploration
AZS.V,Arizona Gold & Silver
AZT.V,Aztec Minerals Corp
BAT.V,Batero Gold Corp
BAU.V,Blue Star Gold Corp
BBB.V,Brixton Metals Corporation
BCM.V,Bear Creek Mining Corporation
BEX.V,Benton Resources
BGS,BAROYECA GOLD & SILVER
BHS.V,Bayhorse Silver
BIG.V,Hercules Metals
BLLG.CN,Blue Lagoon Resources
BMM.V,Black Mammoth Metals Corporation
BOGO.V,Borealis Mining Company
BRAU.V,Big Ridge Gold Corp
BRAZ.CN,CanaryGoldCo
BRC.V,BLACKROCK SILVER CORP
BSX.TO,Belo Sun Mining Corp
BTO.TO,
BTR.V,
BYN.V,
CANX.V,
CAPT.V,
CBI.V,
CBR.V,
CC.CN,
CCM.TO,
CDPR.CN,
CERT.V,
CFE.CN,
CG.TO,
CGG.TO,
CKG.V,
CLB.V,
CMB.V,
CN.TO,
CNL.TO,
CPAU.V,
CRB.V,
CRI.V,
CTM.V,
CTN.V,
CVB.V,
CXB.TO,
CYG.V,
DAU.V,
DEF.V,
DEX.V,
DLTA.V,
DNG.TO,
DPM.TO,
DRY.V,
DSV.TO,
DV.V,
DYG.V,
EAM.V,
ECR.V,
EDG.V,
EDR.TO,
ELD.TO,
ELE.V,
ELEF.TO,
ELO.TO,
ELVT.V,
EMNT.V,
EMO.V,
EMPR.V,
EMX.V,
ENDR.V,
EPL.V,
EQTY.V,
EQX.TO,
ER.CN,
ERD.TO,
ESK.V,
ESM.TO,
ETR.CN,
EXN.TO,
FAS.V,
FDR.V,
FFOX.V,
FKM.V,
